Resource ID,Ethereum Token Address,Ethereum Handler Address,Ethereum Token Name,Ethereum Token Symbol,Ethereum Token Decimals,Avalanche Token Address,Avalanche Handler Address,Avalanche Token Name,Avalanche Token Symbol,Avalanche Token Decimals
0000000000000000000000737f98ac8ca59f2c68ad658e3c3d8c8963e40a4c01,0x737F98AC8cA59f2C68aD658E3C3d8C8963E40a4c,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Amon,AMN,18,0x62DcDFc95452880510B8374302DEEB264a0444BF,0x96B845aBE346b49135B865E5CeDD735FC448C3aD,Amon,AMN,18
0000000000000000000000ff20817765cb7f73d4bde2e66e067e58d11095c201,0xfF20817765cB7f73d4bde2e66e067E58D11095C2,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Amp,AMP,18,0xB9a02ABE4f4409A8855E5935591E0af2b14cA005,0x96B845aBE346b49135B865E5CeDD735FC448C3aD,Amp,AMP,18
0000000000000000000000cae72a7a0fd9046cf6b165ca54c9e3a3872109e001,0xCae72A7A0Fd9046cf6b165CA54c9e3a3872109E0,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,AnRKey X,$ANRX,18,0x186641BF88D51e07F928a3dfe91D41B6b0e1AA84,0x96B845aBE346b49135B865E5CeDD735FC448C3aD,An RKey X,ANRX,18
00000000000000000000008290333cef9e6d528dd5618fb97a76f268f3edd401,0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Ankr Network,ANKR,18,0xE83121231E9e574512a7932b88361Cb5EC581e3D,0x96B845aBE346b49135B865E5CeDD735FC448C3aD,Ankr Network,ANKR,18
00000000000000000000000b38210ea11411557c13457d4da7dc6ea731b88a01,0x0b38210ea11411557c13457D4dA7dC6ea731B88a,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,API3,API3,18,0x5A2f5A5c3F78acA93749535A58D0b52096aD8d04,0x96B845aBE346b49135B865E5CeDD735FC448C3aD,API3,API3,18
000000000000000000000095a4492f028aa1fd432ea71146b433e7b444661101,0x95a4492F028aa1fd432Ea71146b433E7B4446611,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,APY Governance Token,APY,18,0x93ad98C45a28138cBB905EbBad06ea5Dcc40C85d,0x96B845aBE346b49135B865E5CeDD735FC448C3aD,APYGovernance Token,APY,18
0000000000000000000000a117000000f279d81a1d3cc75430faa017fa5a2e01,0xa117000000f279D81A1D3cc75430fAA017FA5A2e,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Aragon Network Token,ANT,18,0x9865f6C534948Cd09FC034fF0c11a0593CaB7D19,0x96B845aBE346b49135B865E5CeDD735FC448C3aD,Aragon Network Token,ANT,18
0000000000000000000000eeee2a622330e6d2036691e983dee8733058860301,0xeEEE2a622330E6d2036691e983DEe87330588603,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Askobar Network,ASKO,18,0xB097aa7edB3B059679a70Ba2D8DE6891AEFB6a37,0x96B845aBE346b49135B865E5CeDD735FC448C3aD,Askobar Network,ASKO,18
0000000000000000000000cbd55d4ffc43467142761a764763652b48b969ff01,0xcbd55D4fFc43467142761A764763652b48b969ff,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,AstroTools.io,ASTRO,18,0x27e06110D96f92dc933aD09750A4B2055433ffC9,0x96B845aBE346b49135B865E5CeDD735FC448C3aD,Astro Tools.io,ASTRO,18
0000000000000000000000821144518dfe9e7b44fcf4d0824e15e8390d463701,0x821144518dfE9e7b44fCF4d0824e15e8390d4637,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,ATIS Token,ATIS,18,0x227119f60870baA2e8fA76E2b673C5edbd11bA88,0x96B845aBE346b49135B865E5CeDD735FC448C3aD,ATISToken,ATIS,18
