Resource ID,Ethereum Token Address,Ethereum Handler Address,Ethereum Token Name,Ethereum Token Symbol,Ethereum Token Decimals,Avalanche Token Address,Avalanche Handler Address,Avalanche Token Name,Avalanche Token Symbol,Avalanche Token Decimals
00000000000000000000000e22734e078d6e399bcee40a549db591c4ea46cb01,0x0E22734e078d6e399BCeE40a549DB591C4EA46cB,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Streamity,STM,18,0xA62CBCB4F5485Ee6EF6B44083c561f9E1f2B740a,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Streamity,STM,18
00000000000000000000000cf0ee63788a0849fe5297f3407f701e122cc02301,0x0Cf0Ee63788A0849fE5297F3407f701E122cC023,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Streamr DATAcoin,DATA,18,0x7b73CEEed704556355D03aF8888da3bCD4434CF9,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Streamr DATAcoin,DATA,18
0000000000000000000000990f341946a3fdb507ae7e52d17851b87168017c01,0x990f341946A3fdB507aE7e52d17851B87168017c,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Strong,STRONG,18,0xCf68248eeF35b725512724178Da55ad7DB59A5F1,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Strong,STRONG,18
0000000000000000000000ea319e87cf06203dae107dd8e5672175e3ee976c01,0xEa319e87Cf06203DAe107Dd8E5672175e3Ee976c,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,SURF.Finance,SURF,18,0xfa0bDf9dF8bb8b3d7687a44dAD2F69Bc7a7B294f,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,SURF.Finance,SURF,18
00000000000000000000006b3595068778dd592e39a122f4f5a5cf09c90fe201,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,SushiToken,SUSHI,18,0x39cf1BD5f15fb22eC3D9Ff86b0727aFc203427cc,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,SushiToken,SUSHI,18
000000000000000000000087edffde3e14c7a66c9b9724747a1c5696b742e601,0x87eDfFDe3E14c7a66c9b9724747a1C5696b742e6,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Swag Token,SWAG,18,0xE8ddE6E36ae86E3c61Dc13DFf908B4a12d50F754,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Swag Token,SWAG,18
0000000000000000000000ba21ef4c9f433ede00badefcc2754b8e74bd538a01,0xBa21Ef4c9f433Ede00badEFcC2754B8E74bd538A,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Swapfolio,SWFL,18,0x733793e8F93afD40d9322a4FBA46de661e4F8B83,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Swapfolio,SWFL,18
00000000000000000000008ce9137d39326ad0cd6491fb5cc0cba0e089b6a901,0x8CE9137d39326AD0cD6491fb5CC0CbA0e089b6A9,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Swipe,SXP,18,0x3AfAD3EB65DeAf28f594958717530bC66D6Cdd1c,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Swipe,SXP,18
0000000000000000000000d6a55c63865affd67e2fb9f284f87b7a9e5ff3bd01,0xD6a55C63865AffD67E2FB9f284F87b7a9E5FF3bD,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Switch,ESH,18,0xCff97feeC839C59BA94FA453D47263a9Cf4d4C28,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Switch,ESH,18
00000000000000000000001695936d6a953df699c38ca21c2140d497c08bd901,0x1695936d6a953df699C38CA21c2140d497C08BD9,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,SynLev,SYN,18,0x09f60a231C989d0c5AdC9d3609936A3409885Bd0,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,SynLev,SYN,18
0000000000000000000000c011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f01,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Synthetix Network Token,SNX,18,0x68e44C4619db40ae1a0725e77C02587bC8fBD1c9,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Synthetix Network Token,SNX,18
00000000000000000000008daebade922df735c38c80c7ebd708af50815faa01,0x8dAEBADE922dF735c38C80C7eBD708Af50815fAa,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,tBTC,TBTC,18,0x1c24D4ef397F6F8c80403f52E9D11Bef1D129a93,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,tBTC,TBTC,18
00000000000000000000001453dbb8a29551ade11d89825ca812e05317eaeb01,0x1453Dbb8A29551ADe11D89825CA812e05317EAEB,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Tendies Token,TEND,18,0x9D8CA87A15230b112D90f9eEE7C1C6fDAB92cAed,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Tendies Token,TEND,18
0000000000000000000000b97048628db6b661d4c2aa833e95dbe1a905b28001,0xB97048628DB6B661D4C2aA833e95Dbe1A905B280,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,TenX Pay Token,PAY,18,0xBdFc6443428DEcf3cCDc7472DF5d96c2FA8C2E70,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,TenX Pay Token,PAY,18
0000000000000000000000d084b83c305dafd76ae3e1b4e1f1fe2ecccb398801,0xd084B83C305daFD76AE3E1b4E1F1fe2eCcCb3988,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Terra Virtua Kolect,TVK,18,0xbE53F019a8786227E3D258A47a0D96BCf24A09A6,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Terra Virtua Kolect,TVK,18
0000000000000000000000dac17f958d2ee523a2206206994597c13d831ec701,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Tether USD,USDT,6,0xde3A24028580884448a5397872046a019649b084,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Tether USD,USDT,6
00000000000000000000003155ba85d5f96b2d030a4966af206230e46849cb01,0x3155BA85D5F96b2d030a4966AF206230e46849cb,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,THORChain ETH.RUNE,RUNE,18,0x390ba0fb0Bd3Aa2a5484001606329701148074e6,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,THORChain ETH.RUNE,RUNE,18
00000000000000000000003a92bd396aef82af98ebc0aa9030d25a23b11c6b01,0x3A92bD396aEf82af98EbC0Aa9030D25a23B11C6b,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Tokenbox,TBX,18,0xbAb918cfBD3c53Ce1516E6AA97c8342B15c26BcC,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Tokenbox,TBX,18
000000000000000000000005d3606d5c81eb9b7b18530995ec9b29da05faba01,0x05D3606d5c81EB9b7B18530995eC9B29da05FaBa,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,TomoChain,TOMOE,18,0x7657F9ee5f31868CcaC0EC4306a92B0E2F5660d2,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,TomoChain,TOMOE,18
000000000000000000000077777feddddffc19ff86db637967013e6c6a116c01,0x77777FeDdddFfC19Ff86DB637967013e6C6A116C,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,TornadoCash,TORN,18,0x7CCF19824c351e57C00633b46bbbff495E12d89d,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,TornadoCash,TORN,18
0000000000000000000000220b71671b649c03714da9c621285943f3cbcdc601,0x220B71671b649c03714dA9c621285943f3cbcDC6,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,TosDis,DIS,18,0xf981547a1D9A0c59C9aba1e2b826BF01a2e5E263,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,TosDis,DIS,18
0000000000000000000000aa7a9ca87d3694b5755f213b5d04094b8d0f0a6f01,0xaA7a9CA87d3694B5755f213B5D04094b8d0F0A6F,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Trace Token,TRAC,18,0xdEA3Da33bDee64487358DB66d9AbC9EC256D1BFb,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Trace Token,TRAC,18
0000000000000000000000b0280743b44bf7db4b6be482b2ba7b75e5da096c01,0xb0280743b44bF7db4B6bE482b2Ba7b75E5dA096C,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Transcodium,TNS,18,0x6b944c575376460edC27Be19c999654E5982D971,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Transcodium,TNS,18
0000000000000000000000c3dd23a0a854b4f9ae80670f528094e9eb607ccb01,0xc3dD23A0a854b4f9aE80670f528094E9Eb607CCb,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,Trendering,TRND,18,0x3a2d191AE83223ed0668d9AAF180Be147Ec05ad3,0x6147F5a1a4eEa5C529e2F375Bd86f8F58F8Bc990,Trendering,TRND,18
